Country,Pre-Tariff Monthly Avg (USD),Post-Tariff Monthly Avg (USD),Pre-Tariff Total (USD),Post-Tariff Total (USD),Monthly Avg Change (USD),Change Percentage (%),p-value,Significance
China,2207708530.3333335,3570152071.571429,6623125591,24991064501,1362443541.2380953,61.713017027314976,0.35983305639875474,Not Significant
Spain,193624636.66666666,333487557.4285714,580873910,2334412902,139862920.76190475,72.23405201409618,0.31140256968635577,Not Significant
Thailand,157849278.66666666,278711067.4285714,473547836,1950977472,120861788.76190475,76.56784356749003,0.04412581694299792,Significant
Vietnam,101757122.0,145582735.2,203514244,727913676,43825613.19999999,43.068841117577975,0.5369270736406786,Not Significant
Netherlands,90205009.0,99902649.33333333,180410018,599415896,9697640.333333328,10.75066721996927,0.8793493589679666,Not Significant
Turkey,102590867.5,101427630.8,205181735,507138154,-1163236.700000003,-1.1338598925484307,0.9888989929872514,Not Significant
Iran,41596872.5,96086824.0,83193745,480434120,54489951.5,130.99530860162625,0.2074416822024359,Not Significant
Pakistan,51671271.0,87537119.2,103342542,437685596,35865848.2,69.41158501791064,0.3296680433735734,Not Significant
Italy,67110392.0,58513861.71428572,67110392,409597032,-8596530.285714284,-12.809536689510448,,Not Significant
Mexico,85525180.0,73809388.6,85525180,369046943,-11715791.400000006,-13.698645708784252,,Not Significant
